Domain,Status,HasIndex,Robots,Sitemap,LiveReady,PrimaryIntent,CannibalizationRisk,CurrentQuality,IndexedProven,ImpressionsProven,ClicksProven,TrafficSentProven,RevenueImpactProven,EarlyPOCRead,Notes
filtersizes.com,Partial but usable,Yes,Yes,Yes,Mostly,HVAC filter size reference,Medium,Good foundation,No,No,No,No,No,Too early,"Strong sizing angle; repaired homepage + chart/robots/sitemap; needs broader support pages later."
whatsizehvacfilter.com,Partial,Yes,No,No,No,"What size HVAC filter do I need?",Medium,Needs work,No,No,No,No,No,Too early,"Homepage exists, but missing robots/sitemap and needs deeper supporting pages + stronger SEO finish."
hvacfiltersizes.com,Broken,No,Yes,Yes,No,Broad HVAC size library,High,Not usable,No,No,No,No,No,Not live,"Missing index.html entirely. Must be built before anything else."
hvacfilterguide.com,Broken,No,No,No,No,Residential buying guide,High,Not usable,No,No,No,No,No,Not live,"Missing index.html entirely. Must be built and differentiated from homehvacfilters.com."
furnacefilterguys.com,Broken,No,No,No,No,Furnace filter buyer's guide,Medium,Not usable,No,No,No,No,No,Not live,"No usable site yet. Needs full build."
wholehouseairfilter.com,Partial,Yes,No,No,No,Whole-house/media-cabinet filtration,Medium,Fair foundation,No,No,No,No,No,Too early,"Homepage exists and is differentiated enough, but missing robots/sitemap and needs deeper support pages."
airfilterforpets.com,Usable draft,Yes,Yes,Yes,Mostly,Pet-owner HVAC filter guidance,Low,Good draft,No,No,No,No,No,Too early,"Best of the new subagent builds. Still needs QA tightening and maybe deeper comparison sections."
allergenairfilter.com,Usable draft,Yes,Yes,Yes,Mostly,Allergy-oriented air filter guidance,Low,Good draft,No,No,No,No,No,Too early,"Has homepage + support pages + crawl files. Needs human QA and copy deepening, but structurally sound."
homehvacfilters.com,Improving,Yes,Yes,Yes,Mostly,General homeowner HVAC filter education,High,Being upgraded,Yes,167 impressions / 7d,0 clicks / 7d,No,No,Impressions but no clicks yet,"Indexed and showing early impressions in GSC for 2026-04-24 to 2026-04-30. Homepage was still weak during that window; rewrite may help later."
subscriptionfilter.com,Usable draft,Yes,Yes,Yes,Mostly,Filter subscription evaluation,Low,Fair,No,No,No,No,No,Too early,"Needs richer content to avoid thin roundup feel; structurally okay."
autoshipfilter.com,Usable draft,Yes,Yes,Yes,Mostly,Auto-ship filter evaluation,Low,Fair,No,No,No,No,No,Too early,"Needs deeper content and more separation from subscriptionfilter.com."
bestofficefilter.com,Usable draft,Yes,Yes,Yes,Mostly,Office/commercial HVAC filters,Low,Fair,No,No,No,No,No,Too early,"Good niche separation, but homepage depth still needs work to feel authoritative."
furnaceprefilter.com,Usable draft,Yes,Yes,Yes,Mostly,Pre-filter education and stacking logic,Low,Fair,No,No,No,No,No,Too early,"Best technical niche of the batch; still needs deeper technical explanation to stand out."
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Property / Workstream,Status,HasIndex,Robots,Sitemap,LiveReady,PrimaryIntent,CannibalizationRisk,CurrentQuality,IndexedProven,ImpressionsProven,ClicksProven,TrafficSentProven,RevenueImpactProven,EarlyPOCRead,Notes
Bartact SEO recovery (core store),Live,Yes,Yes,Yes,Yes,Core store organic recovery,Medium,Active,Yes,Yes,Yes,Indirect,Indirect,Proof of concept,"Ghost URL cleanup produced clicks/day 124→159 (+28%) and CTR 1.61%→1.91%. Non-brand query improvements observed, especially jeep wrangler seat covers."
bestseatcover.com,Live,Yes,Yes,Yes,Yes,Seat cover affiliate support,Medium,Strong older build,Yes,12 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but no click proof yet,"Weekly indexing snapshot 2026-04-21 showed 10 indexed pages. Current GSC pull: 12 impressions, 0 clicks."
jeepseatcover.com,Live,Yes,Yes,Yes,Yes,Jeep seat cover affiliate support,Medium,Strong older build,Yes,36 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but no click proof yet,"Weekly indexing snapshot 2026-04-21 showed 12 indexed pages. Current GSC pull: 36 impressions, 0 clicks."
bestbroncoaccessories.com,Live,Yes,Yes,Yes,Yes,Bronco accessories affiliate support,Medium,Strong older build,Yes,10 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but no click proof yet,"Weekly indexing snapshot 2026-04-21 showed 11 indexed pages. Current GSC pull: 10 impressions, 0 clicks."
besttruckaccessories.com,Live,Yes,Yes,Yes,Yes,Truck accessories affiliate support,Medium,Strong older build,Yes,3 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but barely visible,"Weekly indexing snapshot 2026-04-21 showed 11 indexed pages. Current GSC pull: 3 impressions, 0 clicks."
besttonneaucovers.com,Live,Yes,Yes,Yes,Yes,Tonneau cover affiliate support,Low,Strong older build,Yes,14 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but no click proof yet,"Weekly indexing snapshot 2026-04-21 showed 12 indexed pages. Current GSC pull: 14 impressions, 0 clicks."
bestcordlesstools.com,Live,Yes,Yes,Yes,Yes,Amazon affiliate test property,Low,Strong older build,Yes,190 impressions / 7d,0 clicks / 7d,Unknown,No,Best non-click impression test so far,"Weekly indexing snapshot 2026-04-21 showed 9 indexed pages. Current GSC pull: 190 impressions, 0 clicks."
bestfirestick.com,Live,Yes,Yes,Yes,Yes,Amazon affiliate test property,Low,Gold standard older build,Yes,192 impressions / 7d,2 clicks / 7d,Unknown,No,First direct click proof,"Weekly indexing snapshot 2026-04-21 showed 9 indexed pages. Current GSC pull: 192 impressions, 2 clicks."
tacticalseatcovers.com,Live,Yes,Yes,Yes,Yes,Tactical seat cover support,Medium,Fair older build,Yes,0 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but invisible this week,"Weekly indexing snapshot 2026-04-21 showed 6 indexed pages."
wranglerseatcover.com,Live,Yes,Yes,Yes,Yes,Wrangler seat cover support,Medium,Strong older build,Yes,3 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but minimal visibility,"Weekly indexing snapshot 2026-04-21 showed 6 indexed pages."
jlseatcovers.com,Live,Yes,Yes,Yes,Yes,JL seat cover support,Low,Fair older build,Yes,3 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but minimal visibility,"Weekly indexing snapshot 2026-04-21 showed 3 indexed pages."
tacomaseats.com,Live,Yes,Yes,Yes,Yes,Tacoma seat cover support,Low,Fair older build,Yes,4 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but minimal visibility,"Weekly indexing snapshot 2026-04-21 showed 1 indexed page."
bestoffroadbrands.com,Live,Yes,Yes,Yes,Yes,Off-road brand affiliate support,Medium,Fair older build,Yes,18 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but no click proof yet,"Weekly indexing snapshot 2026-04-21 showed 2 indexed pages."
broncograbhandles.com,Live,Yes,Yes,Yes,Yes,Bronco grab handles support,Low,Fair older build,Yes,18 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but no click proof yet,"Weekly indexing snapshot 2026-04-21 showed 1 indexed page."
bestwindshieldwiper.com,Live,Yes,Yes,Yes,Yes,Amazon affiliate test property,Low,Fair older build,Yes,17 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but no click proof yet,"Weekly indexing snapshot 2026-04-21 showed 1 indexed page."
autopartsreviewed.com,Live,Yes,Yes,Yes,Yes,Store-directory support,Medium,Fair older build,Yes,0 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but not surfacing,"Weekly indexing snapshot 2026-04-21 showed 1 indexed page."
topoffroadstores.com,Live,Yes,Yes,Yes,Yes,Off-road retailer support,Medium,Fair older build,Yes,3 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but minimal visibility,"Weekly indexing snapshot 2026-04-21 showed 1 indexed page."
gladiatorseatcover.com,Live,Yes,Yes,Yes,Yes,Gladiator seat cover support,Low,Fair older build,Yes,0 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but not surfacing,"Weekly indexing snapshot 2026-04-21 showed 1 indexed page."
broncoseatcover.com,Live,Yes,Yes,Yes,Yes,Bronco seat cover support,Low,Fair older build,Yes,3 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but minimal visibility,"Weekly indexing snapshot 2026-04-21 showed 1 indexed page."
tacticalseats.com,Live,Yes,Yes,Yes,Yes,Tactical seats authority site,Medium,Strong older build,Yes,10 impressions / 7d,0 clicks / 7d,Unknown,No,Indexed but no click proof yet,"Weekly indexing snapshot 2026-04-21 showed 1 indexed page."
whatarebest.com,Live,Yes,Yes,Yes,Yes,General review hub,Low,Fair older build,Yes,67 impressions / 7d,0 clicks / 7d,Unknown,No,Visible but not clicking yet,"Current GSC pull: 67 impressions, 0 clicks."
bestinstantpot.com,Live,Yes,Yes,Yes,Yes,Amazon affiliate test property,Low,Fair older build,Yes,89 impressions / 7d,0 clicks / 7d,Unknown,No,Visible but not clicking yet,"Current GSC pull: 89 impressions, 0 clicks."
bestsmokergrill.com,Live,Yes,Yes,Yes,Yes,Amazon affiliate test property,Low,Fair older build,Yes,1 impression / 7d,0 clicks / 7d,Unknown,No,Too little data,"Current GSC pull: 1 impression, 0 clicks."
bestmeshwifi.com,Live,Yes,Yes,Yes,Yes,Amazon affiliate test property,Low,Fair older build,Yes,36 impressions / 7d,0 clicks / 7d,Unknown,No,Visible but not clicking yet,"Current GSC pull: 36 impressions, 0 clicks."
bestgarageorganizer.com,Live,Yes,Yes,Yes,Yes,Amazon affiliate test property,Low,Fair older build,Yes,27 impressions / 7d,0 clicks / 7d,Unknown,No,Visible but not clicking yet,"Current GSC pull: 27 impressions, 0 clicks."
petwearhouse.com,Unknown,Unknown,Unknown,Unknown,Unknown,Pet gear support,Unknown,Unknown,Unknown,403 from GSC pull,Unknown,Unknown,Unknown,Could not verify,"Search Console property query returned 403. Needs access check."
