id,title,handle,vendor,status,tags
gid://shopify/Product/10410829512977,"Access LOMAX Tri-Fold Cover 2019+ Chevy/GMC Full Size 1500 - 5ft 8in Box","access-lomax-tri-fold-cover-2019-chevy-gmc-full-size-1500-5ft-8in-box","Access",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410879615249,"AEM Dryflow Air Filter AIR FILTER ASSY 3in X 5in Dryflow","aem-dryflow-air-filter-air-filter-assy-3in-x-5in-dryflow","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410881089809,"AEM 04-06 Mazda RX-8 Blue Cold Air Intake","aem-04-06-mazda-rx-8-blue-cold-air-intake","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410881220881,"AEM 04-06 Mazda RX-8 Polished Cold Air Intake","aem-04-06-mazda-rx-8-polished-cold-air-intake","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410881286417,"AEM Cold Air Intake System H.I.S.HONDA CIVIC 96-00 W/H22A","aem-cold-air-intake-system-h-i-s-honda-civic-96-00-w-h22a","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410881351953,"AEM 04-07 Acura TL/ 07 TL-S Silver Cold Air Intake","aem-04-07-acura-tl-07-tl-s-silver-cold-air-intake","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410881712401,"AEM 07-10 Mini Cooper S 1.6L / 10 Mini Cooper S Clubman 1.6L (w/o MAF) Gunmetal Gray Cold Air Intake","aem-07-10-mini-cooper-s-1-6l-10-mini-cooper-s-clubman-1-6l-w-o-maf-gunmetal-gray-cold-air-intake","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410881974545,"AEM 2014 Subaru Forester 2.0L H4 - Cold Air Intake System - Gunmetal Gray","aem-2014-subaru-forester-2-0l-h4-cold-air-intake-system-gunmetal-gray","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410882007313,"AEM 14-15 Ford Fusion 2.0L L4 Turbo - Cold Air Intake System - Gunmetal Gray","aem-14-15-ford-fusion-2-0l-l4-turbo-cold-air-intake-system-gunmetal-gray","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410882990353,"AEM 2013-2016 C.A.S. Nissan Sentra L4-1.8L F/I Aluminum Cold Air Intake","aem-2013-2016-c-a-s-nissan-sentra-l4-1-8l-f-i-aluminum-cold-air-intake","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410883318033,"AEM 2015-2016 C.A.S Subaru Legacy H4-2.5L F/I Cold Air Intake","aem-2015-2016-c-a-s-subaru-legacy-h4-2-5l-f-i-cold-air-intake","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410883547409,"AEM 16-17 C.A.S.Infiniti QX30 L4-2.0L F/I Cold Air Intake","aem-16-17-c-a-s-infiniti-qx30-l4-2-0l-f-i-cold-air-intake","AEM Induction",ARCHIVED,"Filtered:Abandoned"
gid://shopify/Product/10410884694289,"AEM 16-19 C.A.S Chevrolet Camaro SS V8-6.2L F/I Cold Air Intake","aem-16-19-c-a-s-chevrolet-camaro-ss-v8-6-2l-f-i-cold-air-intake","AEM Induction",ARCHIVED,"Filtered:Abandoned"
