Domain,Template,Status,HTTPS,Pages,Backlinks To,Category,Notes
limitstraps.com,Dark,Live,Yes,5,"bartact.com, bullstrap.com",Limit Straps,Deep links to collection pages
bestseatcover.com,Dark,Live,Yes,7,bartact.com,Seat Covers,Vehicle-specific deep links updated
bestbroncoaccessories.com,Dark,Live,Yes,5,"bartact.com, bullstrap.com",Bronco Accessories,9 deep links updated across 4 files
besttruckaccessories.com,Dark,Live,Yes,4,bartact.com,Truck Accessories,4 deep links updated
besttonneaucovers.com,Dark,Live,Yes,4,bullstrap.com,Tonneau Covers,Already had deep links
bestcordlesstools.com,Dark,Live,Yes,5,-,Cordless Tools,No Bartact relevance
bestfirestick.com,Dark,Live,Yes,4,-,Streaming,No Bartact relevance
jeepseatcover.com,Dark,Live,Yes,6,"bartact.com, bullstrap.com",Jeep Seat Covers,5 deep links updated across model pages
petwearhouse.com,Dark,Live,Yes,4,bartact.com,Pet Gear,6 links to /collections/pet-gear
whatarebest.com,Dark,HTTP only,Pending,5,"bartact.com, bullstrap.com",Hub/General,DNS fixed - cert pending
bestinstantpot.com,Dark,HTTP only,Pending,3,-,Kitchen,DNS fixed - cert pending
bestsmokergrill.com,Dark,HTTP only,Pending,3,-,Grills,DNS fixed - cert pending
bestmeshwifi.com,Dark,HTTP only,Pending,3,-,WiFi/Tech,DNS fixed - cert pending
bestgarageorganizer.com,Dark,HTTP only,Pending,3,-,Garage/Home,DNS fixed - cert pending
autopartsreviewed.com,T2 Magazine,Building,No,-,"bullstrap.com, bartact.com",Store Directory,Sub-agent building now
topoffroadstores.com,T3 Dark,Building,No,-,"bartact.com, bullstrap.com",Off-Road Stores,Kartek #1 - Bull Strap #2
bestoffroadbrands.com,T1 Clean,Building,No,-,"bartact.com, bullstrap.com",Off-Road Brands,Brand profiles + category pages
tacticalseats.com,T1 Clean,Building,No,-,bartact.com,Tactical Seats,Bartact = #1 tactical seat cover
homehvacfilters.com,T2 Magazine,Building,No,-,Amazon,HVAC Filters,BowTie/Factor added later
bestwindshieldwiper.com,T4 Comparison,Building,No,-,Amazon,Wipers,Switchblade added later
tacticalseatcovers.com,T3 Dark,Building,No,-,bartact.com,Tactical Covers,Bartact = undisputed #1
tacomaseats.com,T5 Blog,Building,No,-,bartact.com,Tacoma Seats,Bartact Tacoma 2005-2023
